baseline_minutes,lag_seconds,metric,metric_label,event_fluctuation_correlation
120,90,ttft_p99_ms,TTFT P99,-0.03259894248267308
120,120,kv_p50_ms,KV transfer P50,0.015185349356942091
120,120,kv_p95_ms,KV transfer P95,0.017987899880532326
120,120,kv_p99_ms,KV transfer P99,0.0009011284386360632
120,120,ttft_avg_ms,TTFT average,0.017146300116227028
120,120,ttft_p95_ms,TTFT P95,0.005885511588786585
120,120,ttft_p99_ms,TTFT P99,-0.00619421832548446
120,150,kv_p50_ms,KV transfer P50,0.02904639417444459
120,150,kv_p95_ms,KV transfer P95,0.00028458558022438114
120,150,kv_p99_ms,KV transfer P99,0.008753879757295628
120,150,ttft_avg_ms,TTFT average,0.061652242678964325
120,150,ttft_p95_ms,TTFT P95,0.0642836993463903
120,150,ttft_p99_ms,TTFT P99,0.016484430946022657
120,180,kv_p50_ms,KV transfer P50,0.04427040376975857
120,180,kv_p95_ms,KV transfer P95,-0.021669384622433306
120,180,kv_p99_ms,KV transfer P99,0.0011794802383758485
120,180,ttft_avg_ms,TTFT average,0.026806431548070546
120,180,ttft_p95_ms,TTFT P95,0.037014271180159854
120,180,ttft_p99_ms,TTFT P99,0.02197387497090291
120,210,kv_p50_ms,KV transfer P50,0.017979741694570835
120,210,kv_p95_ms,KV transfer P95,0.0658020102542233
120,210,kv_p99_ms,KV transfer P99,0.03736776618553537
120,210,ttft_avg_ms,TTFT average,0.0058707092687460246
120,210,ttft_p95_ms,TTFT P95,0.0032004281302679826
120,210,ttft_p99_ms,TTFT P99,0.008512592853543234
120,240,kv_p50_ms,KV transfer P50,0.016957695130795158
120,240,kv_p95_ms,KV transfer P95,0.01290064937078849
120,240,kv_p99_ms,KV transfer P99,0.008860422434843985
120,240,ttft_avg_ms,TTFT average,0.0015407026095642098
120,240,ttft_p95_ms,TTFT P95,0.002650841044554587
120,240,ttft_p99_ms,TTFT P99,0.004501932140555584
